   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
198.69226,17.09179,-12.6742,1.62979,29881.19922
199.36266,17.09188,-12.67395,1.60244,29880.60938
200.022,17.09196,-12.6737,1.57318,29880.02148
200.67256,17.09204,-12.67347,1.54434,29879.43164
201.31641,17.0921,-12.67328,1.51374,29878.84375
201.95486,17.09216,-12.67311,1.48426,29878.25391
202.58202,17.09222,-12.67295,1.45559,29877.66406
203.19913,17.09227,-12.6728,1.42719,29877.07617
203.81007,17.09233,-12.67263,1.40024,29876.48828
204.41826,17.09239,-12.67246,1.37373,29875.89844
205.01874,17.09245,-12.67227,1.34782,29875.31055
205.60802,17.09252,-12.67208,1.32263,29874.72266
206.19412,17.09259,-12.67188,1.29759,29874.13281
206.76556,17.09266,-12.67167,1.27375,29873.54297
207.33679,17.09273,-12.67146,1.24969,29872.95508
207.90016,17.09281,-12.67124,1.22639,29872.36523
208.45598,17.09289,-12.67102,1.20351,29871.77734
209.00677,17.09296,-12.67079,1.18098,29871.1875
209.55087,17.09304,-12.67056,1.15881,29870.59766
210.0891,17.09312,-12.67032,1.13742,29870.00977
210.61966,17.0932,-12.6701,1.11512,29869.41992
211.14563,17.09328,-12.66988,1.0948,29868.83008
211.66435,17.09336,-12.66965,1.07476,29868.24219
212.16942,17.09343,-12.66943,1.05471,29867.65234
212.56448,17.09351,-12.66921,1.04577,29867.07227
212.73753,17.0936,-12.66895,1.0317,29866.57422
212.91173,17.09377,-12.66843,1.02985,29866.08789
213.11897,17.09405,-12.66764,1.03037,29865.59961
213.35962,17.09437,-12.66671,1.0299,29865.11328
213.60551,17.09469,-12.66578,1.02498,29864.62305
213.84276,17.09497,-12.66498,1.01691,29864.13672
214.07346,17.0952,-12.66431,1.00669,29863.65039
214.30043,17.09538,-12.66377,0.99643,29863.16406
214.51904,17.09554,-12.66332,0.98614,29862.67578
214.7374,17.09567,-12.66295,0.97651,29862.18945
214.95164,17.09578,-12.66262,0.96734,29861.70312
215.16225,17.09588,-12.66232,0.95878,29861.21484
215.36754,17.09598,-12.66205,0.95049,29860.72656
215.57451,17.09607,-12.66179,0.94208,29860.24023
215.77312,17.09615,-12.66154,0.93516,29859.75195
215.97224,17.09623,-12.66132,0.92734,29859.26562
216.16817,17.0963,-12.6611,0.91994,29858.77734
216.36427,17.09637,-12.6609,0.91255,29858.28906
216.55786,17.09644,-12.66071,0.90523,29857.80273
216.74597,17.0965,-12.66053,0.89812,29857.31445
216.93259,17.09656,-12.66037,0.89116,29856.82812
217.11728,17.09661,-12.66021,0.88408,29856.3418
217.30142,17.09666,-12.66006,0.8773,29855.85547
217.48048,17.09671,-12.65992,0.87065,29855.36523
217.6593,17.09676,-12.65979,0.86439,29854.87891
217.83627,17.0968,-12.65967,0.85741,29854.39062
218.00958,17.09684,-12.65956,0.85071,29853.9043
218.18161,17.09687,-12.65945,0.84444,29853.41797
218.3532,17.09691,-12.65935,0.83823,29852.92969
218.5175,17.09694,-12.65925,0.8321,29852.44531
218.68571,17.09697,-12.65916,0.82594,29851.95508
218.85088,17.09701,-12.65907,0.82005,29851.46875
219.01401,17.09703,-12.65899,0.81413,29850.98047
219.17314,17.09706,-12.65891,0.80829,29850.49414
219.32999,17.09709,-12.65883,0.80267,29850.00781
219.48787,17.09711,-12.65875,0.79697,29849.52148
219.64322,17.09714,-12.65868,0.79111,29849.03125
219.79494,17.09716,-12.65861,0.78567,29848.54297
219.94518,17.09719,-12.65854,0.78065,29848.05664
220.09369,17.09721,-12.65847,0.77505,29847.57031
220.23895,17.09723,-12.65841,0.76954,29847.08203
220.38249,17.09725,-12.65835,0.76464,29846.5957
220.5269,17.09727,-12.65829,0.75947,29846.10938
220.66956,17.09729,-12.65823,0.75451,29845.62109
220.8073,17.09731,-12.65817,0.74938,29845.14258
220.94762,17.09733,-12.65812,0.74451,29844.66211
221.08485,17.09735,-12.65807,0.73962,29844.18164
221.22058,17.09737,-12.65802,0.73475,29843.70117
